Y1,Y2,Y3,Y4,Y5,Y6,O1,O2,R1,R2,R3,R4,R5,R6,R7,B1,B2,B3,B4,B5,B6,B7,Bk,Col_Reten
0,0,1.1,0,0,0,0,0.06,0,0,0.53,0,0,0,0,0,0,0,0,0,0.05,0.14,0,249.833
0,0.775,0,0,0,0,0,0.46,0,0,0.78,0,0,0,0,0,0.41,0,0,0,0.095,0,0,249.049
0,0,1.46,0,0,0,0,0,0,0,0,0,0,0.136,0,0,0,0,0,0,0,0,0.22,250.871
0,0,1.44,0,0,0,0,0,0,0,0,0,0,0.18,0,0.11,0,0,0,0,0,0,0,250.016
0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0.054,0,0,0,0,0.07,0,0,0.21,251.52
0.34,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.078,0.13,0,0,0,0,0,0,0,246.307
0,0,1.18,0,0,0,0,0.12,0,0,0,0,0,0.17,0,0,0,0,0,0,0.051,0.136,0,248.613
0,0.3,0,0,0,0,0,0.23,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0.27,250.995
0,0,1.9,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0.36,0,0,0.14,0,0,0,248.323
0,0,1.34,0,0,0,0,0.114,0,0,0.66,0,0,0,0,0,0.38,0,0,0,0.068,0,0,248.534
0,0,0,0,0,0,0,0.81,0,0,0,0,0,0.16,0,0.15,0,0,0,0,0,0,0,250.264
0.2,0,0,0,0,0,0,0.5,0,0,0,0,0,0.27,0,0,0,0,0,0.37,0,0,0,249.306
0,0,1.23,0,0,0,0,0.11,0,0,0,0,0,0,0.056,0,0,0,0,0,0,0,0.25,250.496
0,0.75,0,0,0,0,0,0.6,0,0,0,0,0,0.265,0,0,0.41,0,0,0.12,0,0,0,249.968
0,0,1.67,0,0,0,0,0,0,0,0.59,0,0,0,0,0.05,0,0,0,0,0,0,0.21,248.723
0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0.042,0,0,0,0,0,0,0,0.26,249.685
0,0.49,0,0,0,0,0,0.2,0,0,0.67,0,0,0,0,0,0.49,0,0,0,0,0,0,251.451
0.305,0,0,0,0,0,0,0.75,0,0,0,0,0,0.26,0,0,0.48,0,0,0,0.06,0,0,245.01
0,0,1.18,0,0,0,0,0.11,0,0,0,0,0,0,0.05,0,0,0,0,0.021,0,0,0.22,248.375
0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0.06,0,0.52,0,0,0,0,0,0,251.821
0.2,0,0,0,0,0,0,0.53,0,0,0,0,0,0.26,0,0,0,0,0,0,0.41,0,0,248.368
0,0.935,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0.28,0,0,0,0.15,0,0,248.683
0,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0.088,0,0,0,0,0.41,0,0,0,248.891
0.34,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.11,0,0,0,0,0.44,0,0,0,246.876
0,0,1.1,0,0,0,0,0.19,0,0,0,0,0,0,0.094,0,0,0,0,0,0.34,0,0,250.671
0,0,1.22,0,0,0,0,0.15,0,0,0.82,0,0,0,0,0,0,0,0,0.36,0,0,0,250.639
0.23,0,0,0,0,0,0,0.21,0,0,0.69,0,0,0,0,0.13,0,0,0,0,0,0,0,248.275
0,0.266,0,0,0,0,0,0.37,0,0,0,0,0,0,0.062,0,0.45,0,0,0,0,0,0,250.346
0,0,1.46,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0.45,0,0,0,0,0,0,251.948
0,0,1.23,0,0,0,0,0.23,0,0,0,0,0,0.18,0,0,0.43,0,0,0,0,0,0,250.227
0,0,1.5,0,0,0,0,0.1,0,0,0.9,0,0,0,0,0,0,0,0,0,0.36,0,0,249.379
0,0.45,0,0,0,0,0,0.23,0,0,0,0,0,0.23,0,0.13,0,0,0,0,0,0,0,251.095
0.12,0,0,0,0,0,0,0.4,0,0,0.7,0,0,0,0,0,0,0,0,0.38,0,0,0,250.115
0,0,0,0,0,0,0,0.8,0,0,0.47,0,0,0,0,0.166,0,0,0,0,0,0,0,249.976
0,0.46,0,0,0,0,0,0.19,0,0,0,0,0,0,0.063,0,0,0,0,0,0,0,0.24,250.59
0.12,0,0,0,0,0,0,0.39,0,0,0.69,0,0,0,0,0,0,0,0,0,0.35,0,0,250.689
0,0,0.8,0,0,0,0,0.34,0,0,0,0,0,0,0.064,0.13,0,0,0,0,0,0,0,251.547
0,0,1.6,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0.37,0,0,0,248.956
0,0.45,0,0,0,0,0,0.15,0,0,0.64,0,0,0,0,0.124,0,0,0,0,0,0,0,250.214
0,0,0.82,0,0,0,0,0.23,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.24,250.965
0,0,1.13,0,0,0,0,0.11,0,0,0,0,0,0.16,0,0.1,0,0,0,0,0.02,0,0,249.608
0.27,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0.064,0,0.43,0,0,0,0,0,0,245.269
0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0.054,0,0,0,0,0,0,0,0.23,249.805
0,0,1.4,0,0,0,0,0.08,0,0,0.64,0,0,0,0,0.11,0,0,0,0.044,0,0,0,248.45
0,0,1.57,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0.34,0,0,248.32
0.22,0,0,0,0,0,0,0.25,0,0,0,0,0,0.186,0,0,0.44,0,0,0,0,0,0,249.217
0,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0.082,0,0,0,0,0,0.35,0,0,249.666
0,0,1.15,0,0,0,0,0.066,0,0,0.57,0,0,0,0,0,0,0,0,0.05,0,0.15,0,248.859
0,0.68,0,0,0,0,0,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0.43,0,0,249.518
0,0,0,0,0,0,0,0.76,0,0,0,0,0,0.144,0,0,0.47,0,0,0,0,0,0,250.169
0,0,1.25,0,0,0,0,0.1,0,0,0.51,0,0,0,0,0,0,0,0,0,0.03,0,0.24,248.98
0.24,0,0,0,0,0,0,0.284,0,0,0,0,0,0.21,0,0.12,0,0,0,0,0,0,0,248.367
0,0,1.51,0,0,0,0,0,0,0,0,0,0,0,0.045,0,0.43,0,0,0,0,0,0,250.318
0,0,0,0,0,0,0,0.85,0,0,0.53,0,0,0,0,0,0.53,0,0,0,0,0,0,249.476
0.25,0,0,0,0,0,0,0.15,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0.24,246.953
0,0,1.64,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0.46,0,0,0,0,0,0,248.24
0,0,1.48,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.33,0,0,249.969
0,0,0,0,0,0,0,0.67,0,0,0.39,0,0,0,0,0,0,0,0,0,0.06,0,0.22,251.759
0.34,0,0,0,0,0,0,0.23,0,0,0.84,0,0,0,0,0,0.54,0,0,0,0,0,0,243.79
0,0,1.42,0,0,0,0,0.08,0,0,0.64,0,0,0,0,0.114,0,0,0,0,0.042,0,0,249.243
0,0,1.08,0,0,0,0,0.16,0,0,0,0,0,0.16,0,0.12,0,0,0,0,0,0,0,250.652
0,0.68,0,0,0,0,0,0.12,0,0,1,0,0,0,0,0,0,0,0,0.42,0,0,0,250.98
0,0,1.1,0,0,0,0,0.13,0,0,0,0,0,0.16,0,0,0,0,0,0.024,0,0,0.23,248.734
0,0.54,0,0,0,0,0,0.28,0,0,0,0,0,0.3,0,0,0,0,0,0.39,0,0,0,250.545
0,0,1.15,0,0,0,0,0.12,0,0,0,0,0,0,0.053,0,0,0,0,0,0.022,0,0.22,248.822
0,0,1.6,0,0,0,0,0.055,0,0,0,0,0,0.23,0,0,0,0,0,0.33,0,0,0,250.548
0.313,0,0,0,0,0,0,0.7,0,0,0.725,0,0,0,0,0,0.46,0,0,0.09,0,0,0,245.441
0,0,1.4,0,0,0,0,0.09,0,0,0,0,0,0.17,0,0,0.42,0,0,0.022,0,0,0,249.783
0,0.53,0,0,0,0,0,0.12,0,0,0,0,0,0,0.08,0.126,0,0,0,0,0,0,0,251.326
0,0,1.2,0,0,0,0,0.088,0,0,0.6,0,0,0,0,0.13,0,0,0,0,0,0,0,250.005
0,0.79,0,0,0,0,0,0.12,0,0,0,0,0,0,0.12,0,0,0,0,0.51,0,0,0,251.174
0,0,1.44,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0.226,247.3
0,0,1.3,0,0,0,0,0.13,0,0,0,0,0,0,0.075,0,0.44,0,0,0,0,0,0,250.903
0,0,1.1,0,0,0,0,0.13,0,0,0,0,0,0.16,0,0,0,0,0,0,0.024,0,0.23,249.718
0.38,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0.1,0,0,0,0,0,0.38,0,0,246.875
0,0.95,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0.18,0,0.15,248.016
0,0,1.28,0,0,0,0,0.12,0,0,0.61,0,0,0,0,0,0.46,0,0,0,0,0,0,250.545
0,0,1.43,0,0,0,0,0.057,0,0,0,0,0,0,0.093,0,0,0,0,0.3,0,0,0,251.563
0,0,1.62,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0.5,0,0,0,0,0,0,248.7
0.11,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.2,250.656
0.38,0,0,0,0,0,0,0.23,0,0,0.82,0,0,0,0,0,0.54,0,0,0,0,0,0,245.345
0,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0.13,0,0,0,0,0,0,0,249.48
0,0,1.7,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0.42,0,0,0,0,0,0,248.412
0,0.4,0,0,0,0,0,0.16,0,0,0,0,0,0,0.057,0,0,0,0,0,0,0,0.23,251.41
0,0,0,0,0,0,0,0.74,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0.25,250.227
0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.05,0.114,0,0,0,0,0,0,0,249.117
0,0,0,0,0,0,0,0.72,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0.26,249.79
0,0,1.34,0,0,0,0,0.082,0,0,0,0,0,0.16,0,0,0.42,0,0,0,0.025,0,0,249.156
0,0,2.01,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0.22,0,248.864
0,0,0,0,0,0,0,0.7,0,0,0.4,0,0,0,0,0,0,0,0,0.06,0,0,0.22,251.554
0,0,1.13,0,0,0,0,0.11,0,0,0,0,0,0.16,0,0.1,0,0,0,0.02,0,0,0,249.089
0,0,1.23,0,0,0,0,0.11,0,0,0,0,0,0.176,0,0,0,0,0,0.052,0,0.13,0,248.677
0,0.85,0,0,0,0,0,0.4,0,0,0.9,0,0,0,0,0,0,0,0,0,0.21,0.09,0,246.917
0,0,1.35,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0.24,249.911
0,0,1.26,0,0,0,0,0.11,0,0,0,0,0,0.21,0,0,0,0,0,0,0.31,0,0,250.895
0,0,0,0,0,0,0,0.78,0,0,0,0,0,0,0.055,0,0,0,0,0,0.078,0,0.21,250.555
0,0,1.65,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0.12,0,0.18,247.475
0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0.065,0.16,0,0,0,0,0,0,0,249.784
0,0,1.33,0,0,0,0,0.114,0,0,0.65,0,0,0,0,0,0.42,0,0,0.06,0,0,0,249.542
0,0.28,0,0,0,0,0,0.35,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0.27,251.213
0,0.89,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0.335,247.127
0,0,1.2,0,0,0,0,0.1,0,0,0.5,0,0,0,0,0,0,0,0,0.03,0,0,0.24,249.001
