Y1,Y2,Y3,O1,R1,R2,R3,B1,B2,B3,B4,B5,Bk,Col_Reten
0.0,0.45,0.0,0.23,0.0,0.23,0.0,0.13,0.0,0.0,0.0,0.0,0.0,251.095
0.0,0.0,1.346,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.236,247.3
0.0,0.0,1.113,0.147,0.0,0.249,0.0,0.0,0.0,0.213,0.0,0.145,0.0,248.677
0.0,0.0,1.2,0.1,0.5,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.24,249.001
0.0,0.0,1.28,0.12,0.61,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,250.545
0.305,0.0,0.0,0.75,0.0,0.26,0.0,0.0,0.48,0.0,0.06,0.0,0.0,245.01
0.0,0.0,1.443,0.0,0.705,0.0,0.0,0.0,0.396,0.086,0.0,0.0,0.0,248.323
0.0,0.0,1.46,0.0,0.59,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,251.948
0.0,0.0,0.816,0.172,0.0,0.176,0.0,0.0,0.0,0.0,0.0,0.0,0.247,249.718
0.0,0.0,0.0,0.42,0.51,0.0,0.0,0.133,0.0,0.0,0.0,0.0,0.0,249.976
0.0,0.0,1.13,0.11,0.0,0.16,0.0,0.1,0.0,0.0,0.02,0.0,0.0,249.608
0.0,0.0,1.4,0.09,0.0,0.17,0.0,0.0,0.42,0.022,0.0,0.0,0.0,249.783
0.0,0.0,1.5,0.0,0.62,0.0,0.0,0.114,0.0,0.0,0.0,0.0,0.0,249.396
0.0,0.0,1.23,0.11,0.0,0.176,0.0,0.0,0.0,0.052,0.0,0.13,0.0,248.677
0.0,0.0,1.7,0.0,0.0,0.19,0.0,0.0,0.42,0.0,0.0,0.0,0.0,248.412
0.0,0.535,0.0,0.168,0.746,0.0,0.0,0.0,0.473,0.0,0.021,0.0,0.0,249.049
0.2,0.0,0.0,0.5,0.0,0.27,0.0,0.0,0.0,0.37,0.0,0.0,0.0,249.306
0.23,0.0,0.0,0.21,0.69,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,248.275
0.0,0.46,0.0,0.19,0.0,0.0,0.063,0.0,0.0,0.0,0.0,0.0,0.24,250.59
0.2,0.0,0.0,0.53,0.0,0.26,0.0,0.0,0.0,0.0,0.41,0.0,0.0,248.368
0.0,0.75,0.0,0.6,0.0,0.265,0.0,0.0,0.41,0.12,0.0,0.0,0.0,249.968
0.38,0.0,0.0,0.23,0.82,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,245.345
